,id,position,trackname,artist,streams,url,date,region
0,303651,52,Heart Won't Forget,Matoma,28047,https://open.spotify.com/track/2of2DM5LqTh7ohm...,2017-02-04 00:00:00,no
1,85559,160,"Someone In The Crowd - From ""La La Land"" Sound...",Emma Stone,17134,https://open.spotify.com/track/7xE4vKvjqUTtHyJ...,2017-02-26 00:00:00,fr
2,1046089,175,The Greatest,Sia,10060,https://open.spotify.com/track/7xHWNBFm6ObGEQP...,2017-03-06 00:00:00,cl
3,350824,25,Unforgettable,French Montana,46603,https://open.spotify.com/track/3B54sVLJ402zGa6...,2017-10-01 00:00:00,no
4,776822,1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1823391,https://open.spotify.com/track/4Km5HrUvYTaSUfi...,2017-01-27 00:00:00,us
5,462814,16,Perfect Strangers,Jonas Blue,109998,https://open.spotify.com/track/1CUVN2kn7mW5Fjk...,2017-01-05 00:00:00,ph
6,33445,46,I'm the One,DJ Khaled,5278,https://open.spotify.com/track/3DXncPQOG4VBw3Q...,2017-06-20 00:00:00,ec
7,727284,63,Affet,Müslüm Gürses,11067,https://open.spotify.com/track/0ikRchpmFlaqlzL...,2017-06-01 00:00:00,tr
8,1040243,129,The Greatest,Sia,10531,https://open.spotify.com/track/7xHWNBFm6ObGEQP...,2017-02-05 00:00:00,cl
9,717121,100,İçimdeki Duman,İlyas Yalçıntaş,6363,https://open.spotify.com/track/6omqxqWZX4sCmQ7...,2017-04-09 00:00:00,tr
10,623249,51,Solo Dance,Martin Jensen,14617,https://open.spotify.com/track/6HUnnBwYZqcED1e...,2017-03-06 00:00:00,nz
11,528597,199,A Thousand Years,Christina Perri,17876,https://open.spotify.com/track/6lanRgr6wXibZr8...,2017-12-02 00:00:00,ph
12,39577,178,Hasta el Amanecer,Nicky Jam,1907,https://open.spotify.com/track/5Fim1gaXBgsiFfs...,2017-07-20 00:00:00,ec
13,273818,19,Too Good At Goodbyes - Edit,Sam Smith,37747,https://open.spotify.com/track/0mel2N9Ws9r4yLQ...,2017-09-17 00:00:00,fi
14,726819,198,Janti,Murat Boz,4608,https://open.spotify.com/track/20NWw4dRWT67e82...,2017-05-27 00:00:00,tr
15,716091,70,Lush Life,Zara Larsson,8068,https://open.spotify.com/track/1rIKgCH4H52lrvD...,2017-04-04 00:00:00,tr
16,863110,44,Bad Liar,Selena Gomez,1857,https://open.spotify.com/track/1sCxVKWImDZSZKv...,2017-07-10 00:00:00,sv
17,865127,56,Let Me Love You,DJ Snake,1526,https://open.spotify.com/track/4pdPtRcBmOSQDlJ...,2017-07-27 00:00:00,sv
18,117089,90,Sunset Lover,Petit Biscuit,27642,https://open.spotify.com/track/0hNduWmlWmEmuwE...,2017-08-06 00:00:00,fr
19,696149,2,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,3815,https://open.spotify.com/track/1bhUWB0zJMIKr9y...,2017-12-01 00:00:00,ee
20,194478,79,La Última Vez,Anuel Aa,25955,https://open.spotify.com/track/4J1e3hbf0e5YUZj...,2017-08-22 00:00:00,ar
21,811266,45,Young Dumb & Broke,Khalid,524715,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI...,2017-07-21 00:00:00,us
22,717258,37,Olsun,Sertab Erener,15010,https://open.spotify.com/track/07Af1vF3LFqNrmL...,2017-04-10 00:00:00,tr
23,143853,54,Him & I (with Halsey),G-Eazy,52233,https://open.spotify.com/track/5k38wzpLb15Ygnc...,2017-12-18 00:00:00,fr
24,512733,135,Set You Free,MYMP,25481,https://open.spotify.com/track/6CiuHbascZBxfFq...,2017-09-14 00:00:00,ph
25,41662,63,Sorry Not Sorry,Demi Lovato,3552,https://open.spotify.com/track/25C5CowdsfXld2j...,2017-07-31 00:00:00,ec
26,791152,131,Side To Side,Ariana Grande,224324,https://open.spotify.com/track/4pLwZjInHj3SimI...,2017-04-08 00:00:00,us
27,895852,138,Let Her Go,Passenger,2722,https://open.spotify.com/track/2jyjhRf6DVbMPU5...,2017-02-25 00:00:00,cr
28,29358,159,Sugar,Maroon 5,1830,https://open.spotify.com/track/494OU6M7NOf4ICY...,2017-05-27 00:00:00,ec
29,464107,109,Terrified,Katharine McPhee,22714,https://open.spotify.com/track/6vtOX9riyVzwJxj...,2017-01-11 00:00:00,ph
30,242543,144,Leijonakuningas,Ellinoora,6471,https://open.spotify.com/track/4MsOdD6nhPuvnK9...,2017-04-10 00:00:00,fi
31,43994,195,Don't Let Me Down,The Chainsmokers,1818,https://open.spotify.com/track/0QsvXIfqM0zZoer...,2017-08-11 00:00:00,ec
32,459929,49,Jocelyn Flores,XXXTENTACION,1137,https://open.spotify.com/track/7m9OqQk4RVRkw9J...,2017-10-27 00:00:00,lt
33,505727,129,Happier,Ed Sheeran,25368,https://open.spotify.com/track/2RttW7RAu5nOAfq...,2017-08-10 00:00:00,ph
34,189647,48,Imitadora,Romeo Santos,52478,https://open.spotify.com/track/6r46lnXFbE9fr2d...,2017-07-29 00:00:00,ar
35,538837,39,Scars To Your Beautiful,Alessia Cara,7661,https://open.spotify.com/track/0prNGof3XqfTvND...,2017-01-14 00:00:00,tw
36,485513,115,Paano Ba Ang Magmahal,Piolo Pascual,25530,https://open.spotify.com/track/2qqte0XT0eFFVLu...,2017-04-28 00:00:00,ph
37,428248,49,Galway Girl,Ed Sheeran,44892,https://open.spotify.com/track/0afhq8XCExXpqaz...,2017-10-17 00:00:00,it
38,182513,114,Mala Mujer,C. Tangana,18833,https://open.spotify.com/track/6puxHBNwu2Nmm7u...,2017-06-23 00:00:00,ar
39,720355,134,Panda,Desiigner,6048,https://open.spotify.com/track/5OOkp4U9P9oL23m...,2017-04-25 00:00:00,tr
40,482402,4,Versace On The Floor,Bruno Mars,144230,https://open.spotify.com/track/0kN8xEmgMW9mh7U...,2017-04-13 00:00:00,ph
41,92977,178,Mon ami,Still Fresh,19177,https://open.spotify.com/track/46P2kfhXGdwp3OJ...,2017-04-04 00:00:00,fr
42,375672,73,Tutto il mondo è periferia,J-AX,18919,https://open.spotify.com/track/4OMeKnO7P2taRNh...,2017-01-24 00:00:00,it
43,13789,190,Hello,Adele,1537,https://open.spotify.com/track/4sPmO7WMQUAf45k...,2017-03-10 00:00:00,ec
44,612220,22,Cold Water (feat. Justin Bieber & MØ),Major Lazer,21442,https://open.spotify.com/track/6DNtNfH8hXkqOX1...,2017-01-10 00:00:00,nz
